gamma,state,exact_value,mc_value,mc_sample_std,mc_stderr,mc_ci_lower_95,mc_ci_upper_95,absolute_error,exact_rank_within_gamma,mc_rank_within_gamma,num_time_steps,num_trajectories
0.0,s0,1.2539775684413355,0.7981408280387321,0.8423854811331911,0.18836311990726817,0.4289491130204865,1.1673325430569776,0.45583674040260336,1,3,10,20
0.0,s1,0.43090870574538526,0.8995099877634569,0.973470849512658,0.21767469936247713,0.47286757701300175,1.326152398513912,0.46860128201807166,3,1,10,20
0.0,s2,0.8635388688846058,0.8781103807002886,1.2370204566374203,0.27660618305991025,0.3359622619028645,1.4202584994977125,0.014571511815682725,2,2,10,20
0.0,s3,0.28366643579655987,0.2669629739521359,1.4201578006404465,0.3175569381008633,-0.3554486247255561,0.8893745726298279,0.01670346184442395,4,4,10,20
0.25,s0,1.511054827407191,1.92457258142856,0.9595215257919931,0.21455553575452144,1.504043731349698,2.345101431507422,0.4135177540213688,1,1,10,20
0.25,s1,0.6121588680647313,0.5620005115935223,1.1010855853603319,0.24621022179108493,0.07942847688299581,1.0445725463040487,0.05015835647120903,3,4,10,20
0.25,s2,1.0579637955492127,0.7626576946122465,1.3501939071660936,0.30191253592294254,0.1709091242032792,1.3544062650212139,0.2953061009369662,2,3,10,20
0.25,s3,0.5129269591432662,0.8296944293665124,1.2960129458045717,0.2897973046538773,0.26169171224491283,1.3976971464881118,0.31676747022324614,4,2,10,20
0.5,s0,1.9825569779044667,2.002210784989,1.3573090833145802,0.30350353767693267,1.4073438511422118,2.597077718835788,0.019653807084533126,1,1,10,20
0.5,s1,1.0041720787487267,0.7310260985404471,1.019993836317986,0.22807755546378103,0.28399408983143626,1.1780581072494578,0.2731459802082796,3,4,10,20
0.5,s2,1.4616049340245143,1.2360003902998233,1.202994661553189,0.26899778398022833,0.7087647336985758,1.7632360469010708,0.22560454372469096,2,2,10,20
0.5,s3,0.9631318296600019,1.1226682205440466,1.3026574471024408,0.2912830603117394,0.5517534223330374,1.6935830187550558,0.1595363908840447,4,3,10,20
0.75,s0,3.172137476940356,1.9289086671578999,1.231670886155502,0.2754099827351107,1.389105100997083,2.468712233318717,1.243228809782456,1,3,10,20
0.75,s1,2.112562847617433,1.6152665819867025,1.5253901826580456,0.3410876140634211,0.9467348584223971,2.2837983055510076,0.4972962656307307,4,4,10,20
0.75,s2,2.579518494412943,2.781326165024457,1.8557729385840889,0.41496344414785646,1.9679978144946584,3.594654515554256,0.2018076706115144,2,1,10,20
0.75,s3,2.140535634299554,2.7254360352160276,1.5776569463141334,0.35277481771331387,2.033997392497932,3.416874677934123,0.5849004009164736,3,2,10,20
1.0,s0,7.237416417837239,7.3777145359164304,4.333634353018809,0.9690301002978378,5.478415539332668,9.277013532500192,0.14029811807919135,1,1,10,20
1.0,s1,6.097757324711141,6.637207177338934,4.088483354567416,0.9142126705689118,4.845350343023867,8.429064011654,0.5394498526277927,4,2,10,20
1.0,s2,6.571653211766521,5.331947635476608,3.4969200116710883,0.7819350857975911,3.7993548673133293,6.864540403639886,1.2397055762899134,2,4,10,20
1.0,s3,6.205556055922816,6.49428978537524,3.164035709412989,0.7074998929484214,5.107589995196333,7.880989575554146,0.2887337294524235,3,3,10,20
