gamma,state,num_time_steps,num_trajectories,finite_exact_value,mc_value,mc_sample_variance,mc_sample_std,mc_stderr,mc_ci_lower_95,mc_ci_upper_95,mc_ci_width_95,finite_vs_mc_abs_error,infinite_exact_value,finite_vs_infinite_abs_gap,mc_vs_infinite_abs_gap
0.0,Computer,10,100,2.8,2.64,6.091313131313132,2.468058575340774,0.2468058575340774,2.1562605192332085,3.1237394807667918,0.9674789615335835,0.1599999999999997,2.8,0.0,0.1599999999999997
0.0,Coffee,10,100,2.1,2.1,0.35353535353535354,0.5945883900105632,0.05945883900105632,1.9834606755579296,2.2165393244420706,0.2330786488841408,0.0,2.1,0.0,0.0
0.0,Home,10,100,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,Chat,10,100,0.3,0.52,1.8278787878787879,1.3519906759585245,0.13519906759585246,0.2550098275121292,0.7849901724878708,0.5299803449757416,0.22000000000000003,0.3,0.0,0.22000000000000003
0.05,Computer,10,100,2.9068256992791266,2.61647633183918,7.778813569068912,2.7890524500390654,0.27890524500390657,2.0698220516315233,3.163130612046837,1.0933085604153137,0.29034936743994644,2.906825699279282,1.5543122344752192e-13,0.29034936744010187
0.05,Coffee,10,100,2.152940253213316,2.1575845110479492,0.3617545705420491,0.6014603648970139,0.06014603648970139,2.0396982795281344,2.275470742567764,0.23577246303962945,0.00464425783463307,2.1529402532134716,1.5543122344752192e-13,0.004644257834477639
0.05,Home,10,100,1.0753183557362047,1.0780277859418164,0.0011248266708681891,0.033538435724824574,0.0033538435724824573,1.0714542525397508,1.084601319343882,0.013147066804131233,0.0027094302056116515,1.0753183557363601,1.5543122344752192e-13,0.0027094302054562203
0.05,Chat,10,100,0.3744941415601768,0.49366137325871096,2.0093611369328452,1.4175193603379268,0.14175193603379269,0.2158275786324773,0.7714951678849447,0.5556675892524673,0.11916723169853416,0.3744941415603322,1.5543122344752192e-13,0.11916723169837873
0.1,Computer,10,100,3.0231931502981233,3.42106283524,6.321510890178307,2.5142614999594426,0.25142614999594426,2.9282675812479493,3.9138580892320505,0.9855905079841015,0.3978696849418766,3.02319315046619,1.6806689373538575e-10,0.3978696847738097
0.1,Coffee,10,100,2.2146623099957163,2.30547250556,0.33569620563234553,0.5793929630504202,0.05793929630504202,2.1919114848021177,2.4190335263178824,0.2271220415157647,0.09081019556428371,2.214662310163813,1.680966477124457e-10,0.09081019539618707
0.1,Home,10,100,1.1580707364345943,1.15258483418,0.00391297232065811,0.0625537554480793,0.00625537554480793,1.1403242981121764,1.1648453702478236,0.024521072135647085,0.0054859022545943326,1.1580707366027156,1.6812129466359238e-10,0.005485902422715627
0.1,Chat,10,100,0.4578832005869241,0.71301115434,2.228770109543591,1.4929065977292721,0.14929065977292721,0.4204014611850626,1.0056208474949373,0.5852193863098747,0.25512795375307584,0.45788320075501254,1.6808843206206348e-10,0.2551279535849874
0.15000000000000002,Computer,10,100,3.1506696874862268,3.373402524416816,7.593081261948288,2.7555546196633967,0.2755554619663397,2.8333138189627904,3.913491229870842,1.0801774109080515,0.22273283693058943,3.1506696977479556,1.0261728800031733e-08,0.22273282666886063
0.15000000000000002,Coffee,10,100,2.286756781976847,2.3524252967397654,0.5608797851578223,0.7489190778434092,0.07489190778434092,2.205637157482457,2.4992134359970737,0.2935762785146164,0.06566851476291857,2.2867567922402765,1.0263429661705459e-08,0.06566850449948891
0.15000000000000002,Home,10,100,1.2496762617508965,1.23801722605375,0.008445334351881694,0.09189850027003539,0.00918985002700354,1.220005120000823,1.256029332106677,0.036024212105853874,0.011659035697146436,1.249676272015842,1.0264945560223282e-08,0.011659045962091996
0.15000000000000002,Chat,10,100,0.5517652223487698,0.6713907469596291,2.506528846360227,1.5832020863933407,0.15832020863933408,0.3610831380265343,0.9816983558927239,0.6206152178661896,0.11962552461085929,0.5517652326117473,1.0262977467867529e-08,0.11962551434788182
0.2,Computer,10,100,3.2912090045109577,3.53274948096,5.676164850923548,2.3824703252975783,0.23824703252975782,3.065785297201675,3.9997136647183256,0.9339283675166506,0.24154047644904253,3.2912091981263076,1.9361534997486274e-07,0.24154028283369255
0.2,Coffee,10,100,2.371211226250558,2.3925677568,0.5843782913119521,0.7644463953162132,0.07644463953162131,2.2427362633180223,2.542399250281978,0.29966298696395555,0.021356530549442088,2.371211419895947,1.9364538905719542e-07,0.02135633690405303
0.2,Home,10,100,1.3519281172257283,1.36225734656,0.023469863255582243,0.15319877041145677,0.015319877041145676,1.3322303875593546,1.3922843055606455,0.06005391800129105,0.010329229334271828,1.3519283108996318,1.9367390358127068e-07,0.010329035660368246
0.2,Chat,10,100,0.6581342604553848,0.38037392384,2.578459230434325,1.6057581481762204,0.16057581481762204,0.06564532679746082,0.6951025208825392,0.6294571940850784,0.2777603366153848,0.6581344540926848,1.93637299972238e-07,0.27776053025268477
0.25,Computer,10,100,3.447279276095162,3.612604751586914,8.569485397045824,2.927368339831157,0.2927368339831157,3.0388405569800074,4.186368946193821,1.1475283892138135,0.16532547549175236,3.4472811995039643,1.923408802451121e-06,0.1653235520829499
0.25,Coffee,10,100,2.4705403332745686,2.4637926864624022,0.7619147490131634,0.8728772817602503,0.08728772817602502,2.2927087392373933,2.634876633687411,0.3421678944500181,0.00674764681216633,2.4705422569614077,1.9236868391558914e-06,0.006749570499005486
0.25,Home,10,100,1.4671206944978654,1.4853012466430664,0.03070469098826935,0.17522754061011458,0.017522754061011458,1.450956648683484,1.5196458446026488,0.06868919591916492,0.01818055214520098,1.4671226184660482,1.923968182770963e-06,0.018178628177018208
0.25,Chat,10,100,0.7795103081729196,0.8293509674072266,3.1143989172578856,1.7647659667100013,0.17647659667100013,0.48345683793206634,1.1752450968823869,0.6917882589503205,0.04984065923430703,0.7795122317838488,1.923610929210895e-06,0.04983873562337782
0.30000000000000004,Computer,10,100,3.6220429332750927,3.97142059983,7.0577244593390756,2.656637811094895,0.2656637811094895,3.4507195888554008,4.4921216108046,1.0414020219491988,0.3493776665549073,3.622055693264332,1.2759989239441438e-05,0.3493649065656679
0.30000000000000004,Coffee,10,100,2.5879681386099516,2.5440005486,0.881383204418907,0.9388201129177555,0.09388201129177555,2.3599918064681202,2.72800929073188,0.36801748426376013,0.04396759000995143,2.5879809003069063,1.276169695474394e-05,0.04398035170690617
0.30000000000000004,Home,10,100,1.598228343818402,1.58471429548,0.05238239753941353,0.22887201126265644,0.022887201126265643,1.5398553812725193,1.6295732096874807,0.08971782841496131,0.013514048338401974,1.5982411073619864,1.2763543584481951e-05,0.013526811881986456
0.30000000000000004,Chat,10,100,0.9191211992612964,0.94862213584,3.3936306382283856,1.8421809461147907,0.18421809461147906,0.5875546704015011,1.3096896012784989,0.7221349308769979,0.029500936578703563,0.9191339604849463,1.2761223649904174e-05,0.02948817535505366
0.35000000000000003,Computer,10,100,3.8196092343252004,3.7327231528666993,8.833734332069758,2.9721598765998034,0.29721598765998036,3.1501798170531377,4.315266488680261,1.165086671627123,0.08688608145850107,3.8196734300305897,6.419570538929165e-05,0.08695027716389037
0.35000000000000003,Coffee,10,100,2.7276834642585595,2.7311330026338476,1.3107930604621094,1.1448987118789633,0.11448987118789633,2.5067328551055708,2.9555331501621245,0.4488002950565536,0.0034495383752881636,2.7277476678607186,6.42036021591963e-05,0.0033853347731289674
0.35000000000000003,Home,10,100,1.749156892944221,1.7530865896652932,0.077068395837083,0.27761195189883847,0.027761195189883847,1.6986746470931209,1.8074985322374655,0.10882388514434468,0.00392969672107224,1.749221105696836,6.421275261514481e-05,0.003865483968457095
0.35000000000000003,Chat,10,100,1.081157673657405,1.0431417375387695,3.34974592409713,1.8302311122088188,0.18302311122088188,0.684416439545841,1.401867035531698,0.7174505959858569,0.03801593611863541,1.0812218750344997,6.42013770948413e-05,0.03808013749573025
0.4,Computer,10,100,4.045387439634304,3.9884090368,9.124724688597373,3.020715923187312,0.3020715923187312,3.3963487158552867,4.580469357744713,1.1841206418894263,0.05697840283430411,4.045651796563097,0.00026435692879278605,0.057242759763096895
0.4,Coffee,10,100,2.895196470922838,2.7970406553600005,1.5428851408037965,1.2421292770093604,0.12421292770093603,2.553583317066166,3.040497993653835,0.48691467658766924,0.09815581556283748,2.89546085749002,0.0002643865671818624,0.09842020213001934
0.4,Home,10,100,1.925095757039639,1.9627624960000003,0.18452558028997945,0.42956440761541154,0.042956440761541155,1.8785678721073795,2.046957119892621,0.16838924778524134,0.03766673896036132,1.9253601805242146,0.000264423484575671,0.03740231547578565
0.4,Chat,10,100,1.2711294771708033,1.1323689472,4.060467992588457,2.01506029502555,0.20150602950255497,0.7374171293749923,1.5273207650250078,0.7899036356500155,0.13876052997080324,1.2713938552334667,0.00026437806266343955,0.13902490803346668
0.45,Computer,10,100,4.306576136538298,4.2024880304144725,10.91022723884983,3.3030633113595975,0.33030633113595975,3.555087621387991,4.849888439440954,1.2948008180529622,0.10408810612382524,4.307512636326971,0.0009364997886729398,0.10502460591249818
0.45,Coffee,10,100,3.097831950631744,3.169498722390586,1.805341379592118,1.3436299265765548,0.13436299265765547,2.906147256781581,3.4328501879995907,0.5267029312180095,0.07166677175884173,3.098768545177354,0.0009365945456099034,0.07073017721323183
0.45,Home,10,100,2.1330062070792315,2.2096843653042577,0.2987049746725894,0.5465390879640626,0.05465390879640626,2.1025627040633013,2.316806026545214,0.21424332248191255,0.07667815822502622,2.1339429289478407,0.0009367218686091583,0.07574143635641706
0.45,Chat,10,100,1.4963581105787473,1.517452182421133,5.11349541708861,2.2613039196641855,0.22613039196641854,1.0742366141669526,1.9606677506753132,0.8864311365083607,0.021094071842385542,1.497294677380778,0.0009365668020306916,0.02015750504035485
0.5,Computer,10,100,4.612833069496484,4.546953125,11.17054909754281,3.3422371396330948,0.33422371396330947,3.8918746456319133,5.202031604368086,1.310156958736173,0.06587994449648438,4.615787532275912,0.002954462779428013,0.06883440727591239
0.5,Coffee,10,100,3.3454038098486327,3.32912109375,3.1432516306096856,1.7729217779162412,0.17729217779162412,2.9816284252784166,3.6766137622215833,0.6949853369431666,0.016282716098632743,3.3483585392843973,0.0029547294357645804,0.019237445534397324
0.5,Home,10,100,2.382290179422656,2.3798046875,0.5000673097552675,0.7071543747692348,0.07071543747692348,2.24120243004523,2.51840694495477,0.27720451490954,0.0024854919226560135,2.3852452969383995,0.0029551175157433995,0.005440609438399413
0.5,Chat,10,100,1.7666506621050782,1.9532421875,5.131710000086312,2.2653277908696374,0.22653277908696373,1.509237940489551,2.397246434510449,0.8880084940208978,0.18659152539492174,1.769605311693102,0.0029546495880239387,0.1836368758068978
0.55,Computer,10,100,4.977179712042064,5.122163587359219,12.452312767836727,3.528783468539367,0.3528783468539367,4.430522027525503,5.813805147192935,1.3832831196674318,0.14498387531715462,4.985694349359818,0.008514637317754037,0.13646923799940058
0.55,Coffee,10,100,3.6511250864020335,3.577584558290176,2.7422121981881222,1.6559626198039985,0.16559626198039984,3.2530158848085926,3.9021532317717598,0.6491373469631674,0.0735405281118573,3.6596403996803364,0.008515313278302905,0.0820558413901602
0.55,Home,10,100,2.685693896723821,2.6718187348755666,0.5798153308485395,0.761456059696513,0.0761456059696513,2.52257334717505,2.8210641225760833,0.2984907754010331,0.013875161848254436,2.6942102804920514,0.008516383768230273,0.02239154561648471
0.55,Chat,10,100,2.095209048242781,2.2101101970021877,6.101173177206803,2.4700552984107063,0.24700552984107063,1.7259793585136893,2.6942410354906863,0.9682616769769968,0.11490114875940671,2.103724153943734,0.00851510570095293,0.10638604305845378
0.6000000000000001,Computer,10,100,5.417205769642144,4.730120304640001,17.072139277656674,4.131844536966108,0.41318445369661083,3.9202787753946433,5.539961833885358,1.6196830584907145,0.6870854650021432,5.440072686032427,0.022866916390283265,0.7099523813924264
0.6000000000000001,Coffee,10,100,4.032818809358211,3.9172541952000013,2.797400316773681,1.6725430687350569,0.16725430687350568,3.5894357537279302,4.245072636672073,0.6556368829441422,0.11556461415821007,4.05568729540944,0.022868486051228487,0.13843310020943855
0.6000000000000001,Home,10,100,3.0605115301419286,2.9221130752000004,0.9330831792071709,0.965962307342875,0.0965962307342875,2.732784462960797,3.111441687439204,0.378657224478407,0.13839845494192815,3.0833827357785406,0.022871205636612046,0.1612696605785402
0.6000000000000001,Chat,10,100,2.499839951232787,2.221311016960001,6.439414517254431,2.537600149206811,0.2537600149206811,1.723941387715466,2.718680646204536,0.99473925848907,0.2785289342727859,2.5227079413356712,0.022867990102884317,0.3013969243756702
0.65,Computer,10,100,5.956650826969012,6.4392899035537505,13.79309549687478,3.713905693050751,0.3713905693050751,5.711364387715803,7.167215419391698,1.4558510316758944,0.48263907658473837,6.014837556733259,0.058186729764246437,0.42445234682049193
0.65,Coffee,10,100,4.514507049285257,4.664918458834785,6.639849506286221,2.5767905437357963,0.25767905437357963,4.1598675122625695,5.169969405407001,1.010101893144432,0.15041140954952859,4.572697159534073,0.05819011024881604,0.09222129930071254
