gamma,state,value,rank_within_gamma,num_time_steps,num_trajectories,method
0.0,Computer,2.8,1,20,100,exact
0.0,Coffee,2.1,2,20,100,exact
0.0,Home,1.0,3,20,100,exact
0.0,Chat,0.3,4,20,100,exact
0.05,Computer,2.906825699279282,1,20,100,exact
0.05,Coffee,2.152940253213472,2,20,100,exact
0.05,Home,1.0753183557363601,3,20,100,exact
0.05,Chat,0.37449414156033234,4,20,100,exact
0.1,Computer,3.02319315046619,1,20,100,exact
0.1,Coffee,2.2146623101638125,2,20,100,exact
0.1,Home,1.1580707366027154,3,20,100,exact
0.1,Chat,0.45788320075501254,4,20,100,exact
0.15000000000000002,Computer,3.1506696977479565,1,20,100,exact
0.15000000000000002,Coffee,2.286756792240276,2,20,100,exact
0.15000000000000002,Home,1.2496762720158423,3,20,100,exact
0.15000000000000002,Chat,0.5517652326117474,4,20,100,exact
0.2,Computer,3.291209198126288,1,20,100,exact
0.2,Coffee,2.371211419895927,2,20,100,exact
0.2,Home,1.3519283108996119,3,20,100,exact
0.2,Chat,0.658134454092665,4,20,100,exact
0.25,Computer,3.4472811995021297,1,20,100,exact
0.25,Coffee,2.4705422569595727,2,20,100,exact
0.25,Home,1.4671226184642134,3,20,100,exact
0.25,Chat,0.7795122317820142,4,20,100,exact
0.30000000000000004,Computer,3.6220556931889774,1,20,100,exact
0.30000000000000004,Coffee,2.5879809002315515,2,20,100,exact
0.30000000000000004,Home,1.5982411072866323,3,20,100,exact
0.30000000000000004,Chat,0.919133960409592,4,20,100,exact
0.35000000000000003,Computer,3.8196734282595513,1,20,100,exact
0.35000000000000003,Coffee,2.727747666089681,2,20,100,exact
0.35000000000000003,Home,1.749221103925798,3,20,100,exact
0.35000000000000003,Chat,1.0812218732634613,4,20,100,exact
0.4,Computer,4.045651768840814,1,20,100,exact
0.4,Coffee,2.8954608297677344,2,20,100,exact
0.4,Home,1.925360152801933,3,20,100,exact
0.4,Chat,1.271393827511182,4,20,100,exact
0.45,Computer,4.307512317417066,1,20,100,exact
0.45,Coffee,3.098768226267436,2,20,100,exact
0.45,Home,2.1339426100379546,3,20,100,exact
0.45,Chat,1.4972943584708616,4,20,100,exact
0.5,Computer,4.615784646846166,1,20,100,exact
0.5,Coffee,3.3483556538545445,2,20,100,exact
0.5,Home,2.3852424115088127,3,20,100,exact
0.5,Chat,1.7696024262632561,4,20,100,exact
0.55,Computer,4.985672780772614,1,20,100,exact
0.55,Coffee,3.6596188310923843,2,20,100,exact
0.55,Home,2.6941887119059467,3,20,100,exact
0.55,Chat,2.1037025853558315,4,20,100,exact
0.6000000000000001,Computer,5.439934410468245,1,20,100,exact
0.6000000000000001,Coffee,4.055549019840766,2,20,100,exact
0.6000000000000001,Home,3.0832444602207416,3,20,100,exact
0.6000000000000001,Chat,2.5225696657673056,4,20,100,exact
0.65,Computer,6.014054164049013,1,20,100,exact
0.65,Coffee,4.571913766826317,2,20,100,exact
0.65,Home,3.5875793310838002,3,20,100,exact
0.65,Chat,3.0619483914456502,4,20,100,exact
0.7000000000000001,Computer,6.765866175704006,1,20,100,exact
0.7000000000000001,Coffee,5.266888157922618,2,20,100,exact
0.7000000000000001,Home,4.2646923964906165,3,20,100,exact
0.7000000000000001,Chat,3.779983299366771,4,20,100,exact
0.75,Computer,7.793934073631197,1,20,100,exact
0.75,Coffee,6.239444855387935,2,20,100,exact
0.75,Home,5.212792835849809,3,20,100,exact
0.75,Chat,4.775607195713805,4,20,100,exact
0.8,Computer,9.273245354326864,1,20,100,exact
0.8,Coffee,7.665060033963239,2,20,100,exact
0.8,Home,6.606495884369629,3,20,100,exact
0.8,Chat,6.2242452284914656,4,20,100,exact
0.8500000000000001,Computer,11.524993054359893,1,20,100,exact
0.8500000000000001,Coffee,9.865508258370829,2,20,100,exact
0.8500000000000001,Home,8.766607229126599,3,20,100,exact
0.8500000000000001,Chat,8.447607581224325,4,20,100,exact
0.9,Computer,15.152742249759763,1,20,100,exact
0.9,Coffee,13.445043925876739,2,20,100,exact
0.9,Home,12.296293761572606,3,20,100,exact
0.9,Chat,12.049868374519875,4,20,100,exact
0.9500000000000001,Computer,21.305912300932725,1,20,100,exact
0.9500000000000001,Coffee,19.553900215869128,2,20,100,exact
0.9500000000000001,Home,18.344572079469298,3,20,100,exact
0.9500000000000001,Chat,18.181161685462836,4,20,100,exact
1.0,Computer,32.183048522174424,1,20,100,exact
1.0,Coffee,30.391579133624194,2,20,100,exact
1.0,Home,29.10958900542866,3,20,100,exact
1.0,Chat,29.04086825104639,4,20,100,exact
