gamma,state,value,sample_std,stderr,ci_lower_95,ci_upper_95,rank_within_gamma,num_time_steps,num_trajectories,method
0.15000000000000002,Chat,0.482072738470982,1.5053698293426139,0.15053698293426138,0.18702025191982968,0.7771252250221343,4,20,100,monte_carlo
0.2,Computer,3.2522797934788814,2.80359449700142,0.280359449700142,2.702775272066603,3.80178431489116,1,20,100,monte_carlo
0.2,Coffee,2.2761457215071066,0.7433535669061941,0.07433535669061941,2.1304484223934925,2.4218430206207207,2,20,100,monte_carlo
0.2,Home,1.3372995893186654,0.1167737609654542,0.01167737609654542,1.3144119321694365,1.3601872464678944,3,20,100,monte_carlo
0.2,Chat,0.6425410751836381,1.5998780927185174,0.15998780927185174,0.3289649690108087,0.9561171813564675,4,20,100,monte_carlo
0.25,Computer,3.1580814618346995,2.882463358849092,0.2882463358849092,2.5931186435002775,3.7230442801691215,1,20,100,monte_carlo
0.25,Coffee,2.524069176453886,0.9411859655751732,0.09411859655751732,2.339596727201152,2.70854162570662,2,20,100,monte_carlo
0.25,Home,1.4405652240525524,0.1386424681312419,0.01386424681312419,1.413391300298829,1.4677391478062758,3,20,100,monte_carlo
0.25,Chat,0.8733300853401306,1.7895448008247399,0.178954480082474,0.5225793043784815,1.2240808663017795,4,20,100,monte_carlo
0.30000000000000004,Computer,3.547383527525436,3.1689544307039963,0.31689544307039963,2.926268459107453,4.1684985959434195,1,20,100,monte_carlo
0.30000000000000004,Coffee,2.594990025233434,0.9615465051419889,0.09615465051419889,2.406526910225604,2.783453140241264,2,20,100,monte_carlo
0.30000000000000004,Home,1.5922018839240308,0.25244625093279965,0.025244625093279967,1.542722418741202,1.6416813491068596,3,20,100,monte_carlo
0.30000000000000004,Chat,1.0802812802741621,1.863804097850211,0.1863804097850211,0.7149756770955208,1.4455868834528034,4,20,100,monte_carlo
0.35000000000000003,Computer,4.145003694377571,2.9747321178379154,0.29747321178379155,3.56195619928134,4.728051189473803,1,20,100,monte_carlo
0.35000000000000003,Coffee,2.5046159952150187,0.9986570416235778,0.09986570416235778,2.3088792150567974,2.70035277537324,2,20,100,monte_carlo
0.35000000000000003,Home,1.7930716982921207,0.34124288414616943,0.03412428841461694,1.7261880929994715,1.8599553035847698,3,20,100,monte_carlo
0.35000000000000003,Chat,1.0737426287118739,1.9264215122540658,0.19264215122540657,0.696164012310077,1.4513212451136708,4,20,100,monte_carlo
