gamma,state,value,sample_variance,sample_std,stderr,ci_lower_95,ci_upper_95,ci_width_95,rank_within_gamma,num_time_steps,num_trajectories,method
0.0,Chat,0.21,1.7837373737373738,1.335566311995542,0.13355663119955422,-0.05177099715112629,0.47177099715112625,0.5235419943022526,4,50,100,monte_carlo
0.0,Computer,2.516,6.983711422845691,2.6426712665115373,0.11818385188210521,2.2843596503110737,2.7476403496889263,0.46328069937785243,1,50,500,monte_carlo
0.0,Coffee,2.078,0.26845290581162323,0.5181244115187232,0.023171228099158805,2.0325843929256484,2.1234156070743513,0.09083121414870252,2,50,500,monte_carlo
0.0,Home,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3,50,500,monte_carlo
0.0,Chat,0.392,1.77388376753507,1.3318722789873922,0.059563139063267476,0.27525624743599575,0.5087437525640043,0.2334875051280085,4,50,500,monte_carlo
0.02,Coffee,2.214578596643134,0.21922520348727553,0.46821491164557705,0.14806255552545197,1.924375987813248,2.50478120547302,0.5804052176597717,1,50,10,monte_carlo
0.02,Computer,1.934567477192218,9.939296458784888,3.1526649772509745,0.9969602027556008,-0.019474520208759394,3.8886094745931956,3.908083994801955,2,50,10,monte_carlo
0.02,Home,1.0362890583576998,0.0001575284184708656,0.012551032565923236,0.003968984989526486,1.028509847778228,1.0440682689371716,0.015558421158943824,3,50,10,monte_carlo
0.02,Chat,-0.07386603894921878,1.4932563580038967,1.2219886898019543,0.38642675347391475,-0.8312624757580918,0.6835303978596541,1.5147928736177458,4,50,10,monte_carlo
0.02,Computer,3.198605337025123,7.17550731610186,2.6787137428441024,0.5989786021262303,2.0246072768577115,4.372603397192535,2.3479961203348227,1,50,20,monte_carlo
0.02,Coffee,2.2095751671475568,0.16608136229730336,0.4075308114698855,0.0911266597372315,2.0309669140625832,2.3881834202325303,0.35721650616994743,2,50,20,monte_carlo
0.02,Home,1.0295690752719084,0.00018738315470567956,0.013688796685818646,0.0030609079919664325,1.0235696956076543,1.0355684549361626,0.011998759328508414,3,50,20,monte_carlo
0.02,Chat,0.4367485975418134,1.9040061605305392,1.3798572971617533,0.3085454715702808,-0.1680005267359369,1.0414977218195638,1.2094982485555006,4,50,20,monte_carlo
0.02,Computer,3.0853696336890777,8.272878290649896,2.876261165236894,0.4067647548805057,2.2881107141232864,3.882628553254869,1.5945178391315822,1,50,50,monte_carlo
0.02,Coffee,2.1227968852124177,0.26892512650172373,0.5185799133226466,0.07333827465951509,1.9790538668797681,2.266539903545067,0.28748603666529915,2,50,50,monte_carlo
0.02,Home,1.0292566775223966,0.00014834800833694002,0.012179819716930954,0.0017224866230942984,1.0258806037411317,1.0326327513036615,0.00675214756252965,3,50,50,monte_carlo
0.02,Chat,0.41585874509278253,1.6058113808149028,1.2672061319354886,0.17921000981055174,0.06460712586410111,0.767110364321464,0.7025032384573628,4,50,50,monte_carlo
0.02,Computer,2.922034557320399,5.961703503527555,2.4416599893366713,0.24416599893366714,2.4434691994104116,3.4005999152303867,0.9571307158199752,1,50,100,monte_carlo
0.02,Coffee,2.1360334755668973,0.31245829525850005,0.5589796912755418,0.05589796912755418,2.026473456076891,2.2455934950569034,0.2191200389800124,2,50,100,monte_carlo
