gamma,state,value,sample_std,stderr,ci_lower_95,ci_upper_95,rank_within_gamma,num_time_steps,num_trajectories,method
0.0,Computer,4.4,1.2649110640673518,0.39999999999999997,3.6160000000000005,5.184,1,10,10,monte_carlo
0.0,Coffee,2.0,0.4714045207910317,0.14907119849998596,1.7078204509400274,2.2921795490599726,2,10,10,monte_carlo
0.0,Home,1.0,0.0,0.0,1.0,1.0,3,10,10,monte_carlo
0.0,Chat,0.8,1.5491933384829668,0.4898979485566356,-0.1601999791710057,1.7601999791710057,4,10,10,monte_carlo
0.05,Coffee,2.1018326545458987,0.5474625115170753,0.1731228469950121,1.762511874435675,2.4411534346561226,1,10,10,monte_carlo
0.05,Computer,1.7683870370884764,2.9942510669696794,0.9468653258013551,-0.08746900148217951,3.624243075659132,2,10,10,monte_carlo
0.05,Home,1.0864005855167969,0.033276904387502554,0.010523081134415845,1.0657753464933417,1.107025824540252,3,10,10,monte_carlo
0.05,Chat,0.2651678672521484,1.599936403712732,0.5059443147150909,-0.7264829895894298,1.2568187240937265,4,10,10,monte_carlo
0.1,Coffee,2.2139466514999997,0.6082839432623613,0.1923562724817695,1.8369283574357316,2.590964945564268,1,10,10,monte_carlo
0.1,Computer,1.1882925372,3.83919188146992,1.2140590719872137,-1.1912632438949389,3.5678483182949385,2,10,10,monte_carlo
0.1,Home,1.1319898119,0.04116445205896631,0.013017342713914139,1.1064758201807283,1.1575038036192717,3,10,10,monte_carlo
0.1,Chat,0.8513259685999998,1.6162938045682214,0.5111169790454643,-0.1504633103291101,1.8531152475291095,4,10,10,monte_carlo
0.15000000000000002,Coffee,2.562833874959375,0.9795728845676323,0.30976814493749216,1.9556883108818903,3.16997943903686,1,10,10,monte_carlo
0.15000000000000002,Computer,1.984382107233203,3.0687130553725925,0.97041227404718,0.0823740501007304,3.8863901643656757,2,10,10,monte_carlo
0.15000000000000002,Chat,1.4763083786791016,1.4130834292949557,0.44685621604135617,0.6004701952380435,2.3521465621201596,3,10,10,monte_carlo
0.15000000000000002,Home,1.2599704983044921,0.10200614170884244,0.032257174312584236,1.196746436651827,1.3231945599571573,4,10,10,monte_carlo
0.2,Computer,3.5384946176,2.148382240535127,0.6793781164746722,2.2069135093096426,4.8700757258903575,1,10,10,monte_carlo
0.2,Coffee,2.5695068672,1.0089772854735783,0.319066632947043,1.9441362666237956,3.1948774677762044,2,10,10,monte_carlo
0.2,Home,1.426186752,0.2105027556989518,0.06656681617506773,1.2957157922968672,1.5566577117031328,3,10,10,monte_carlo
0.2,Chat,-0.4896651264000001,1.0379170636693213,0.3282181943549056,-1.132972787335615,0.15364253453561488,4,10,10,monte_carlo
0.25,Computer,3.5702373504638674,2.0376999479555518,0.644377302354611,2.3072578378488298,4.8332168630789045,1,10,10,monte_carlo
0.25,Coffee,2.426509475708008,0.8406654402305103,0.26584175413165584,1.9054596376099626,2.947559313806053,2,10,10,monte_carlo
0.25,Chat,1.631174087524414,1.3128844782725424,0.4151705256023079,0.8174398573438906,2.4449083177049378,3,10,10,monte_carlo
0.25,Home,1.4018688201904297,0.12222042223108295,0.038649491083770034,1.3261158176662404,1.477621822714619,4,10,10,monte_carlo
0.30000000000000004,Computer,3.3340491729,3.760773913953285,1.1892611333038472,1.0030973516244592,5.665000994175541,1,10,10,monte_carlo
0.30000000000000004,Coffee,2.6581821012000004,0.9543917660617174,0.3018051760865615,2.06664395607034,3.249720246329661,2,10,10,monte_carlo
0.30000000000000004,Chat,2.0111619670000005,1.374471899812673,0.43464617833068064,1.1592554574718665,2.8630684765281345,3,10,10,monte_carlo
0.30000000000000004,Home,1.7104762753000002,0.4282119394867387,0.13541250500562876,1.4450677654889679,1.9758847851110326,4,10,10,monte_carlo
0.35000000000000003,Computer,4.333861727641797,3.305388752090839,1.0452557008908698,2.2851605538956923,6.382562901387902,1,10,10,monte_carlo
